Price,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Brand,Model
5794980,12,41000,petrol,manual,1,5,Honda,Brio S(O)MT
6859030,12,44000,petrol,manual,2,5,Hyundai,i20 Asta 1.2
6744440,8,72000,diesel,manual,3,5,Tata,Tiago Revotorq XZ
7612050,2,22000,petrol,manual,2,5,Maruti,Suzuki S-Presso VXI+
5876830,13,74000,petrol,manual,1,5,Maruti,Suzuki Swift VXI
3077560,10,36000,petrol,manual,1,4,Tata,Nano Twist XT Petrol
6417040,13,32000,petrol,manual,1,5,Maruti,Suzuki Swift VXI
2766530,13,65000,petrol,manual,1,5,Chevrolet,Spark LT 1.0
8004930,5,15000,petrol,automatic,1,5,Renault,Kwid 1.0 RXT AMT Opt
9249050,2,16000,petrol,manual,1,5,Maruti,Suzuki Eeco AC(O) 5 STR
6515260,10,30000,petrol,manual,1,5,Hyundai,i10 Sportz 1.1 Petrol
7939450,8,39000,petrol,manual,1,5,Tata,Zest XT Petrol
5385730,9,28000,petrol,manual,1,5,Hyundai,Eon Magna
8872540,2,31000,petrol,automatic,1,5,Renault,Kwid 1.0 RXT AMT SCE
6466150,7,55000,petrol,automatic,1,5,Renault,Kwid 1.0 RXT AMT SCE
8496030,2,9000,petrol,manual,1,5,Maruti,Suzuki Alto K10 VXI Plus
9150830,8,52000,petrol,automatic,1,5,Maruti,Suzuki Swift Dzire VXI AT
4878260,10,46000,petrol,manual,1,5,Maruti,Suzuki Alto 800 VXI
9641930,3,24000,petrol+cng,manual,1,5,Maruti,Suzuki Wagon R 1.0 LXI (O) CNG
5696760,9,66000,petrol,automatic,1,5,Maruti,Suzuki Alto K10 VXI AMT
7186430,7,71000,petrol,automatic,2,5,Maruti,Suzuki Celerio ZXI AMT
4239830,11,75000,petrol,manual,2,5,Hyundai,Eon Era +
2668310,9,59000,petrol,manual,2,4,Tata,Nano Twist XT Petrol
5434840,12,49000,petrol,automatic,3,5,Honda,Brio S(O) AT
4730930,13,40000,petrol,manual,1,5,Hyundai,i10 Era Petrol
4256200,12,38000,petrol,manual,1,5,Hyundai,Eon Era
5074700,11,57000,petrol,manual,1,5,Maruti,Suzuki Estilo LXI
5107440,8,47000,petrol,manual,2,5,Renault,Kwid RXT
6089640,6,7000,petrol,manual,1,5,Maruti,Suzuki Alto 800 VXI (O)
9772890,9,74000,petrol,manual,1,5,Ford,EcoSport Titanium 1.0L Eco Boost
8152260,3,23000,petrol,manual,1,5,Renault,Kwid CLIMBER 1.0 Opt
6859030,5,20000,petrol,automatic,2,5,Renault,Kwid 1.0 RXT AMT Opt
5549430,8,56000,petrol,manual,1,5,Renault,Kwid RXT Opt
7513830,9,54000,petrol,manual,1,5,Honda,Amaze 1.2 S i-VTEC
5876830,7,41000,petrol,automatic,2,5,Maruti,Suzuki Alto K10 VXI AMT (O)
5925940,8,20000,petrol,manual,1,5,Renault,Kwid RXT
5156550,9,52000,petrol,manual,1,5,Renault,Kwid RXT
5303880,8,37000,petrol,manual,1,5,Renault,Kwid RXT
5483950,9,42000,petrol,automatic,2,5,Maruti,Suzuki Alto K10 VXI AMT
4387160,12,63000,diesel,manual,1,5,Ford,Figo Duratorq Diesel EXI 1.4
9232680,5,25000,diesel,manual,1,5,Hyundai,Grand i10 Magna 1.2 CRDi
4747300,13,44000,petrol,manual,2,5,Maruti,Suzuki Wagon R 1.0 VXI
6859030,8,73000,diesel,manual,2,5,Tata,Tiago Revotorq XT
8823430,8,47000,petrol,manual,3,5,Maruti,Suzuki Ciaz ZXI
5189290,7,50000,petrol,manual,2,5,Datsun,GO T
5189290,9,41000,petrol,manual,1,5,Hyundai,Eon Sportz
8152260,8,72000,petrol,manual,1,5,Hyundai,Xcent SX Petrol
3093930,9,32000,petrol,manual,2,4,Tata,Nano Twist XT Petrol
7333760,8,55000,petrol,manual,1,5,Maruti,Suzuki Wagon R 1.0 VXI AMT
9461860,7,39000,petrol,automatic,1,5,Maruti,Suzuki Dzire VXI AMT
7775750,5,28000,petrol,automatic,1,5,Renault,Kwid CLIMBER 1.0 AMT
8954390,6,28000,petrol,manual,1,5,Hyundai,Grand i10 Magna 1.2 Kappa VTVT
7399240,7,17000,petrol,manual,1,6,Mahindra,KUV100 K6 6 STR
5516690,7,47000,petrol,manual,2,5,Renault,Kwid 1.0 RXT
8954390,6,28000,petrol,manual,1,5,Hyundai,Grand i10 Magna 1.2 Kappa VTVT
7399240,7,17000,petrol,manual,1,6,Mahindra,KUV100 K6 6 STR
5516690,7,47000,petrol,manual,2,5,Renault,Kwid 1.0 RXT
5303880,8,65000,petrol,manual,1,5,Renault,Kwid RXT
6695330,3,17000,petrol,manual,1,5,Maruti,Suzuki Alto 800 VXI
4534490,11,29000,petrol,manual,1,5,Maruti,Suzuki Alto 800 LXI
3863320,13,39000,petrol,manual,2,5,Maruti,Suzuki Estilo LXI
4010650,12,37000,petrol,manual,1,5,Maruti,Suzuki Alto LXI
5794980,9,69000,petrol,manual,2,5,Honda,Brio S MT
4452640,12,48000,petrol,manual,1,5,Maruti,Suzuki Alto K10 VXI
5631280,3,35000,petrol,manual,1,5,Maruti,Suzuki Alto 800 LXI
6744440,8,53000,petrol,automatic,3,5,Maruti,Suzuki Celerio ZXI AMT
